"Tuning; HKE in GSA 9"							
101							
Medits                        							
2006   2014                     							
1   1   0.4   0.6	              						
0  4                     							
1	1686.571	58.583	2.502	0.26	0.182
1	2514.259	38.88	2.24	1.537	0.098
1	5871.627	57.216	1.241	0.32	0.446
1	6573.9	52.838	1.085	0.457	0.076
1	2469.127	37.298	2.573	0.1	0.078
1	769.899	29.391	1.29	0.329	0.1
1	1464.35	21.931	0.991	0.484	0.312
1	1743.236	35.288	1.001	0.102	0.327
1	1564.17	27.137	1.901	0.218	0.294



                        							
                        							
                     							
                     							
                     							
                     							
                     							
                      							
